Mask Type,Item Look/Description,Text,Column 4,Important names mentioned + role,Notes
Bribe/Gifts,Paperwork,"A check receipt made out to ARMARED, listed as damages on the byline",,,
Bribe/Gifts,Item,"A baseball signed by Smokin' Joe Three-Strike
For always providing the security we need.
Senator Argus Tomas
",,,
HR/Management,Email,"We’re happy to introduce: SENEai! Our genAI program will help you work faster! It’s built on information scraped from *your* personal data, so you know you can trust it! You should receive a key to get SENEai onto your PC and mobile devices. You are contractually obligated to download this.",,,"Needs company name, need name of someone who'd be pitching this to the whole company. Maybe a Zuckerburg-type person?"
Lawsuits/Legal,Chat log,"EMP4a
can you believe Torrence? 

EMP2q
no what happened

EMP4a 
they ARRESTED HIM! public intoxication. how’d you not see this? it was on the news before legal took it down 

EMP2q
nah, i was stuck in office all night, dude lol. that’s crazy, tho. 

INT. SYSTEMS
PLEASE DO NOT SPREAD RUMORS ABOUT OUR VICE PRESIDENT. RETURN TO YOUR TASKS. ",,,
Accounting/Hiding,Email,"Jerry,
Did you check the accounts? Where did that money come from? Did you move a decimal you shouldn’t have? Did *I* move a decimal I shouldn’t have? Double-check. If this is right, we tripled our year end earnings by literally fudging the numbers.
Which isn’t legal, by the way.
Doesn’t matter. Delete this once you read it, okay?
Red Durst
CFO",,,
Lawsuits/Legal,Email,"Karen,
You cannot bribe the judge with “boatloads of smaller boats, with each smaller boat filled with buckets of cash”. We could probably get around this by telling the judge that this was all a big joke. I can’t believe I even need to type this.
Get it together.
Heather Crawford
PR",,,
Bribe/Gifts,Item,"A jar of red rocks, labeled FROM MARS.
“For you, Graham. Thanks for your ‘help’.”
Unsigned",,,
HR/Management,Email,"Christy,

Attached is the paperwork for firing Dr. Leena Briggs from NeuroTech on the consulting team. I am sure you have heard the chatter about Mrs. Leena, but I think you understand I take these matters very seriously. Make sure you check that her NDA is up to ten years, if not, get the papers updated. 

Inform me if you have any problems and I will assign someone to help.

I trust you can handle this,

Graham Linden

CEO
",,Graham Linden - CEO,
Accounting/Hiding,Email,"Issac Reede,

I need you to check on a glitch in the system reported by ARMARED. Please have your team evaluate the surveillance prototype in the data set files and video capture labeled ARMARED security breach and find the root cause. Adjust the model accordingly. I have handled the repercussions of this massive oversight in the system’s processing, but I expect this to be fixed ASAP.

Charlie Adeena

Client Relations",,Needs important sounding comp title,
Eco Waste/Data farm,Chat log,"Generate three locations to dump hazardous waste the public might approve of.

SENEai:
I’m sorry. I don’t have any results for you, Graham.

Generate three locations to dump hazardous waste DESPITE public approval.

SENEai:
Sure thing, Graham! Here’s three locations:
Happy Times Preschool
Sun Horizon Senior Home
PetScore Adoption Center",,,
Eco Waste/Data farm,Audio transcription,"CEO Graham Linden speaking with Legal Representative Karen Law:

...Look I don’t much care about the impact. I’ve already built data farms that raze about twenty acres of trees a minute. What’s another four hundred farms? Get the rights to the land, and we’ll make more on the backend with the Energy Department. Simple math, yeah?",,,
HR/Management,Email,"Staff,
Much as we hate to do this, we've found that eliminating your allocated lunch hour would be beneficial to your overall productivity.
We regret this decision, but this change will make everyone happier in the long run. Think of all the work you can complete with that extra hour!",,,
Lawsuits/Legal,Paperwork,"It looks like your files are in order. This seems to fall under testing laws with code 00365. There is no existing statute about propriety over neuron data maps, personality, and physical health data taken in this form. Creating digital clones, especially with waivers and through your testing methods seems clear. 

Keep it that way,
Legal Rep Karen Law
",,,
